Elapsed time;HTTP Request (success);HTTP Request 2 (success)
02:05:45,0;7.0;
02:05:46,0;74.0;
02:05:47,0;18.0;
02:05:51,0;;30.0
02:05:52,0;;62.0
02:05:53,0;;7.0
02:05:57,0;45.0;
02:05:58,0;50.0;
02:05:59,0;2.0;
02:06:02,0;;5.0
02:06:03,0;;61.0
02:06:04,0;;31.0
02:06:05,0;;1.0
02:06:08,0;22.0;
02:06:09,0;61.0;
02:06:10,0;14.0;
02:06:12,0;1.0;
02:06:14,0;;33.0
02:06:15,0;;56.0
02:06:16,0;;10.0
02:06:18,0;;1.0
02:06:19,0;6.0;
02:06:20,0;37.0;
02:06:21,0;52.0;
02:06:22,0;4.0;
02:06:24,0;1.0;
02:06:25,0;;20.0
02:06:26,0;;43.0
02:06:27,0;;35.0
02:06:28,0;;1.0
02:06:29,0;;1.0
02:06:30,0;1.0;
02:06:31,0;30.0;
02:06:32,0;50.0;
02:06:33,0;18.0;
02:06:35,0;1.0;
02:06:36,0;;7.0
02:06:37,0;;38.0
02:06:38,0;;43.0
02:06:39,0;;11.0
02:06:41,0;;1.0
02:06:42,0;17.0;
02:06:43,0;42.0;
02:06:44,0;34.0;
02:06:45,0;6.0;
02:06:47,0;1.0;1.0
02:06:48,0;;28.0
02:06:49,0;;49.0
02:06:50,0;;21.0
02:06:53,0;9.0;1.0
02:06:54,0;25.0;
02:06:55,0;53.0;
02:06:56,0;12.0;
02:06:58,0;1.0;
02:06:59,0;;17.0
02:07:00,0;;35.0
02:07:01,0;;39.0
02:07:02,0;;8.0
02:07:04,0;3.0;1.0
02:07:05,0;23.0;
02:07:06,0;36.0;
02:07:07,0;34.0;
02:07:08,0;3.0;
02:07:09,0;1.0;
02:07:10,0;;7.0
02:07:11,0;;26.0
02:07:12,0;;47.0
02:07:13,0;;18.0
02:07:14,0;;1.0
02:07:15,0;;1.0
02:07:16,0;9.0;
02:07:17,0;41.0;
02:07:18,0;35.0;
02:07:19,0;13.0;
02:07:20,0;1.0;
02:07:21,0;1.0;2.0
02:07:22,0;;24.0
02:07:23,0;;27.0
02:07:24,0;;41.0
02:07:25,0;;5.0
02:07:26,0;;1.0
02:07:27,0;5.0;
02:07:28,0;24.0;
02:07:29,0;44.0;
02:07:30,0;23.0;
02:07:31,0;3.0;
02:07:32,0;1.0;
02:07:33,0;;9.0
02:07:34,0;;26.0
02:07:35,0;;48.0
02:07:36,0;;15.0
02:07:37,0;;1.0
02:07:38,0;;1.0
02:07:44,0;1.0;
02:07:49,0;;1.0
02:07:55,0;1.0;
02:08:01,0;;1.0
